Inflation measures,Series Name,Description,Aggregation,Sample country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,ENERGY_EMDE_MED,EMDE energy price index inflation,Median,133,1.60,1.90,2.50,4.35,19.30,10.20,10.10,6.76,6.80,14.90,18.10,15.00,9.10,6.60,4.90,7.95,3.50,3.04,5.45,5.80,8.30,13.30,7.90,10.90,9.40,7.90,8.21,7.70,5.00,4.90,7.20,5.20,3.93,4.90,5.30,7.12,6.90,5.43,8.28,2.86,4.50,4.47,4.11,3.36,3.12,2.18,2.11,3.12,3.42,2.18,0.99,3.01,6.45,
,ENERGY_EMDE_AVE,EMDE energy price index inflation,Average,133,3.98,4.10,4.38,6.55,17.62,11.98,10.66,9.43,8.23,15.68,18.83,16.42,11.55,7.89,8.27,9.31,5.72,6.07,6.68,6.30,9.29,12.68,9.88,8.67,8.39,10.41,11.16,9.51,8.69,7.17,9.26,7.48,6.91,6.66,6.30,7.85,8.83,7.17,9.28,3.56,5.46,5.91,5.40,3.98,4.25,2.98,3.14,4.31,4.63,3.71,2.30,5.17,9.52,
,ENERGY_EMDE_AVE_GDP,EMDE energy price index inflation,GDP-weighted Average,132,9.43,9.21,9.14,12.21,17.92,13.47,11.14,14.13,4.64,11.45,12.54,14.29,15.46,10.88,10.86,14.13,7.17,8.35,8.88,10.86,11.09,15.76,14.39,15.55,11.53,16.78,16.19,15.54,11.82,9.81,10.71,7.33,8.33,8.00,6.53,6.66,6.81,6.17,7.72,4.05,7.30,6.58,5.05,4.97,4.76,3.78,3.55,3.71,3.71,3.17,1.20,4.67,6.72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official core consumer price inflation,CORE_GLOBAL_MED,Global core consumer price index inflation,Median,101,3.84,5.52,5.86,8.56,12.99,9.82,9.80,8.54,7.65,8.36,12.69,11.11,8.65,7.89,5.75,5.72,4.03,4.12,5.17,5.31,5.18,4.95,4.16,4.39,2.85,3.35,4.00,2.44,2.33,2.21,2.56,2.31,2.69,2.42,2.18,2.06,2.73,2.90,5.13,2.60,2.63,2.68,2.55,1.90,1.98,1.81,1.68,1.84,1.80,1.90,1.73,2.33,5.61,
(percent),CORE_GLOBAL_AVE,Global core consumer price index inflation,Average,101,2.80,4.86,6.32,9.62,14.69,6.64,12.69,9.46,8.25,8.80,13.28,12.64,8.43,7.28,5.41,6.54,4.50,6.34,6.36,6.84,7.00,7.82,6.06,8.98,3.99,5.90,7.65,4.86,3.83,2.97,4.65,1.91,2.99,4.77,4.64,3.87,4.04,4.72,6.59,2.88,3.79,4.68,4.14,3.96,3.99,2.51,2.86,3.40,2.88,2.61,2.43,3.48,6.63,
,CORE_GLOBAL_AVE_GDP,Global core consumer price index inflation,GDP-weighted Average,100,5.07,3.59,4.62,6.64,11.22,8.91,9.76,6.67,7.49,6.63,12.55,10.61,7.91,5.15,5.67,4.56,3.78,3.64,3.80,4.61,4.91,4.41,4.21,4.28,2.23,3.25,3.65,2.81,1.35,1.59,3.09,0.51,1.24,2.50,2.89,2.03,1.93,3.28,4.92,0.68,2.85,2.34,2.87,2.56,2.73,2.27,2.30,2.61,2.22,2.25,1.65,2.67,4.49,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CORE_AE_MED,Advanced-economy core consumer price index inflation,Median,37,4.46,5.54,6.21,8.71,12.15,9.73,11.45,9.35,7.67,8.35,12.45,11.11,8.75,8.06,5.46,4.94,3.70,4.12,4.93,4.77,4.52,4.77,3.83,3.79,2.53,2.64,2.61,1.87,2.13,1.48,2.16,2.15,2.24,1.82,1.73,1.61,1.72,2.32,3.04,1.85,1.40,1.85,2.02,1.20,1.25,0.81,0.96,1.43,1.21,1.49,0.98,1.69,4.67,
,CORE_AE_AVE,Advanced-economy core consumer price index inflation,Average,37,3.24,4.62,6.94,10.10,13.55,6.23,13.68,10.06,8.66,8.61,12.55,11.98,8.63,7.47,5.37,5.98,4.27,6.46,5.07,5.71,5.21,6.72,5.74,8.06,2.75,4.43,5.49,3.62,2.55,2.03,4.46,0.80,1.25,3.48,1.98,1.82,2.22,3.99,5.36,1.01,2.53,3.47,2.07,1.45,1.37,-0.64,1.10,1.93,1.82,1.54,1.19,2.12,5.17,
,CORE_AE_AVE_GDP,Advanced-economy core consumer price index inflation,GDP-weighted Average,37,5.08,3.58,4.62,6.64,11.19,8.90,9.77,6.68,7.50,6.62,12.18,10.02,7.92,5.15,5.67,4.54,3.77,3.64,3.67,4.40,4.55,4.04,3.98,3.94,2.02,2.72,2.54,2.13,0.82,1.08,2.79,0.09,0.58,1.98,2.43,1.44,1.45,3.12,4.74,-0.38,2.45,1.37,2.08,1.29,1.53,1.12,1.48,1.97,1.62,1.68,1.26,2.32,4.69,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CORE_EMDE_MED,EMDE core consumer price index inflation,Median,63,1.04,5.31,2.07,6.08,27.89,11.47,5.66,5.52,3.87,7.99,13.07,13.69,7.04,4.88,5.88,20.54,11.77,18.74,26.08,20.01,22.03,15.96,11.10,11.20,13.53,14.83,17.65,8.81,11.40,6.97,5.61,4.14,3.90,4.49,5.20,4.90,5.00,4.78,6.71,4.20,4.00,4.42,3.95,3.78,3.16,3.00,2.25,2.96,2.54,2.38,2.41,3.86,6.22,
,CORE_EMDE_AVE,EMDE core consumer price index inflation,Average,63,0.83,6.36,2.86,7.26,24.77,10.58,4.80,5.69,5.11,9.63,16.87,16.13,5.76,4.54,4.64,13.86,9.88,12.32,15.05,12.70,15.08,16.76,9.62,12.74,11.35,12.69,14.85,9.43,8.47,6.27,4.92,4.22,5.46,5.88,7.50,5.95,5.81,5.23,7.85,4.18,4.81,5.63,5.63,5.60,5.56,4.51,3.81,4.28,3.53,3.30,3.41,4.69,7.39,
