Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,652,Ghana,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.80,23.77,22.21,16.51,12.33,,,,,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,174,Greece,Inflation,Official Core Consumer Price Inflation,9.395973206,2.70,4.56,15.42,24.06,14.27,12.73,11.83,12.00,19.33,23.75,22.67,20.87,20.88,18.50,19.35,1.56,17.60,14.27,12.79,18.49,7.68,16.79,16.01,-12.51,30.31,8.55,7.30,5.98,3.61,2.16,3.35,3.42,5.93,3.18,3.16,2.45,2.74,6.95,2.23,3.39,1.88,0.20,-2.02,-1.24,-1.01,-1.13,0.45,22.30,-2.43,-0.67,-0.62,3.34,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,258,Guatemala,Inflation,Official Core Consumer Price Inflation,-3.365307093,10.88,0.65,5.97,26.99,14.05,9.80,3.16,1.60,15.19,19.00,10.06,3.22,5.47,4.72,20.54,11.77,,,,,,,,,,,,,,,,6.79,4.71,5.71,6.65,5.10,4.85,8.14,2.67,2.49,4.70,3.93,3.78,3.16,3.19,3.12,2.96,2.72,3.04,2.41,3.00,4.33,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,532,"Hong Kong SAR, China",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.48,2.74,1.84,0.72,5.00,3.89,4.26,4.22,2.61,2.11,1.30,1.88,2.34,-0.21,0.61,0.69,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,268,Honduras,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42,7.70,7.64,7.88,5.99,6.59,9.91,7.18,3.96,5.58,6.15,5.69,5.93,4.83,3.55,3.96,3.85,4.04,3.98,4.59,8.02,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,960,Croatia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90,2.82,3.16,2.91,1.82,2.28,1.96,3.45,3.23,3.45,3.57,0.48,0.60,0.96,1.04,0.44,0.73,0.14,0.71,0.86,0.91,1.00,1.61,9.14,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,944,Hungary,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,35.79,24.88,21.00,18.32,26.56,22.89,16.53,13.45,9.42,8.15,9.40,5.84,4.53,5.70,2.06,2.23,5.30,5.08,4.12,2.99,2.73,5.07,3.33,2.17,1.21,1.39,2.32,2.48,3.78,3.05,4.55,10.25,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,536,Indonesia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72,4.04,4.56,4.28,4.20,4.53,4.89,3.35,3.15,2.81,3.00,2.26,1.39,2.76,,All Items Excluding unprocessed food and energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,534,India,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.38,7.63,6.40,5.24,5.01,4.41,5.69,4.70,4.61,5.93,6.09,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,178,Ireland,Inflation,Official Core Consumer Price Inflation,,,,,,,18.36,12.61,7.67,12.65,19.47,21.26,18.56,11.25,-23.82,5.78,4.56,3.63,2.22,3.91,3.84,3.90,3.83,41.21,2.18,2.59,-3.84,1.43,2.24,1.30,5.67,-11.05,17.00,3.92,2.37,2.45,4.17,5.87,3.26,-4.34,-1.22,26.63,-2.24,0.66,0.93,-12.55,0.96,0.33,0.14,1.13,0.27,1.80,4.69,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,429,"Iran, Islamic Rep.",Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,3.06,,,,,,,,,,,33.31,17.68,12.20,7.11,5.99,17.15,33.81,33.07,37.24,35.85,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
