Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,
DOM,243,Dominican Rep.,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,6.09,0.81,11.24,27.26,2.43,3.79,4.19,5.32,-1.39,2.60,1.87,2.02,3.06,1.36,0.30,0.63,1.46,1.78,1.45,1.74,4.35,,,,,,,,,,,
ECU,248,Ecuador,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,1.02,3.60,3.35,1.90,2.48,3.22,1.83,1.74,1.78,0.38,-0.15,-0.18,0.08,-0.59,0.32,,,,,,,,,,,
EGY,469,"Egypt, Arab Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,0.88,2.68,3.72,3.14,5.13,10.18,3.35,2.90,3.79,,,,,,,,,,,,
SLV,253,El Salvador,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.93,-0.34,0.69,0.10,-0.12,-0.40,-1.67,-0.32,0.09,-0.05,0.11,1.35,,,,,,,,,,,
GNQ,642,"Equatorial Guinea, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,-0.07,-1.15,0.24,-0.62,-6.16,0.19,1.03,0.67,1.56,,,,,,,,,,,,
EST,939,"Estonia, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74,2.30,0.86,0.63,1.01,1.06,1.56,0.93,1.41,3.86,0.61,1.57,1.22,0.89,-0.30,0.23,-0.02,0.54,1.63,1.32,0.98,-0.11,1.21,3.60,,,,,,,,,,
SWZ,734,Eswatini,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,4.17,1.59,1.84,2.41,2.80,3.38,3.71,3.19,3.88,3.20,2.31,1.47,,,,,,,,,,,,,
ETH,644,"Ethiopia, The Federal Dem. Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95,-1.99,-2.42,-3.53,-3.60,-1.59,1.07,-1.17,-2.14,1.61,-0.05,-1.62,-1.80,-1.43,-3.33,-2.29,-1.95,-0.18,-2.76,1.32,,,,,,,,,,,
FJI,819,"Fiji, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,1.28,-3.64,1.34,1.44,-0.21,1.27,3.54,3.41,2.17,0.15,-1.36,-3.15,,,,,,,,,,,
FIN,172,Finland,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,1.89,0.69,0.85,-0.06,0.44,0.70,0.64,0.63,0.06,1.69,,,,,,,,,,,
FRA,132,France,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,1.20,1.27,0.63,0.27,0.44,1.03,0.60,1.23,1.33,1.64,0.99,0.72,0.82,1.36,0.09,0.93,1.18,1.02,0.33,0.37,-0.08,0.12,0.65,1.23,0.54,0.22,0.96,,,,,,,,,,,
GAB,646,Gabon,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,0.62,-0.09,1.45,2.08,1.65,-0.36,2.20,0.20,0.95,0.45,,,,,,,,,,,
GMB,648,"Gambia, The",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.60,-0.49,-1.14,-0.94,-0.09,-1.27,-3.94,-5.08,-1.15,-0.61,0.27,0.16,-0.72,-0.30,0.90,-0.49,,,,,,,,,,,
GEO,915,Georgia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.48,-7.60,0.37,2.69,2.26,1.08,0.18,-0.01,0.26,1.53,0.54,3.51,0.66,1.74,1.68,3.86,0.34,,,,,,,,,,
DEU,134,Germany,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.41,0.66,0.59,1.16,1.27,1.24,0.89,1.55,1.25,1.06,1.71,1.65,0.40,0.87,1.48,1.43,0.91,0.71,0.50,0.41,1.12,1.34,1.15,0.22,2.62,,,,,,,,,,,
GHA,652,Ghana,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,174,Greece,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,2.11,2.03,1.79,1.92,1.85,1.37,1.77,1.66,1.35,3.47,1.27,-0.10,-1.87,-0.48,-0.75,-0.08,0.61,0.53,0.30,-0.76,-0.33,,,,,,,,,,,
GRL,304,Greenland,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,328,Grenada,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.45,1.15,0.71,1.71,1.69,3.37,1.06,1.31,1.73,1.70,-0.28,-1.15,-0.15,2.37,0.65,0.28,0.51,-0.69,0.63,,,,,,,,,,,
GLP,312,Guadeloupe,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,258,Guatemala,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.72,1.52,0.89,1.25,0.99,1.05,1.40,1.50,,,,,,,,,,,
GIN,656,Guinea,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.92,8.58,-1.00,4.65,7.73,5.05,1.90,2.38,2.32,1.85,2.61,2.61,2.27,3.80,4.75,,,,,,,,,,,
GNB,654,Guinea-Bissau,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.89,,,,,,,,,,,
GUY,336,Guyana,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,263,Haiti,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,1.04,2.17,2.14,-0.03,3.83,3.63,4.43,-1.72,-1.75,-0.70,0.66,-3.80,-1.51,-0.52,-0.52,-0.09,-0.10,-0.44,-0.78,-0.28,0.17,0.51,0.33,,,,,,,,,,,
HND,268,Honduras,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15,1.72,2.43,2.82,3.04,2.15,2.02,3.00,2.18,1.26,2.15,2.59,1.87,2.43,1.42,1.75,1.67,1.83,1.59,1.85,2.51,3.27,,,,,,,,,,
HUN,944,Hungary,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.01,3.25,1.61,3.34,2.28,1.67,0.08,0.21,1.54,1.63,1.76,1.45,3.89,,,,,,,,,,,
ISL,176,Iceland,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.84,2.20,4.04,3.74,9.23,9.41,4.83,2.54,3.59,2.56,1.12,0.35,0.53,0.48,1.68,2.02,1.88,3.05,5.28,,,,,,,,,,
IND,534,India,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,536,Indonesia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,429,"Iran, Islamic Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19,6.23,9.23,5.63,5.07,15.85,,,,,,,,,,,,,,,,,,,,,
IRQ,433,Iraq,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.05,0.61,0.19,0.73,4.05,,,,,,,,,,,
IRL,178,Ireland,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,3.37,1.63,1.06,1.47,2.18,2.16,-1.49,-0.54,1.28,1.56,0.31,0.44,-0.23,0.21,0.35,0.17,0.60,-0.09,1.60,,,,,,,,,,,
ISR,436,Israel,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,6.35,7.21,5.59,3.54,3.74,0.94,0.31,3.55,0.77,-0.04,1.04,1.16,0.14,2.05,1.54,1.74,2.21,0.99,0.40,0.37,-0.70,-0.55,0.02,0.50,0.27,-0.69,1.21,,,,,,,,,,,
ITA,136,Italy,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31,1.36,1.25,1.31,1.62,1.82,1.64,1.54,1.21,0.95,0.93,1.35,0.48,1.30,1.54,1.51,0.51,0.22,-0.01,0.15,0.62,0.51,0.29,0.17,0.41,,,,,,,,,,,
JAM,343,Jamaica,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,158,Japan,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,439,Jordan,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,2.37,-0.32,1.81,1.47,1.86,1.13,1.21,-1.44,0.00,2.53,2.67,0.28,0.20,0.91,,,,,,,,,,,
KAZ,916,"Kazakhstan, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
